
---------- Begin Simulation Statistics ----------
simSeconds                                   0.029959                       # Number of seconds simulated (Second)
simTicks                                  29959334000                       # Number of ticks simulated (Tick)
finalTick                                 29959334000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    431.19                       # Real time elapsed on the host (Second)
hostTickRate                                 69481337                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     796660                       # Number of bytes of host memory used (Byte)
simInsts                                    104693735                       # Number of instructions simulated (Count)
simOps                                      190503147                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   242804                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     441813                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3153142                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11864146                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     302                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      11853946                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   213                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              115320                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           103658                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                146                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3110446                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::mean              3.811012                       # Number of insts issued each cycle
system.cpu0.numIssuedDist::stdev             2.185035                       # Number of insts issued each cycle
system.cpu0.rename.committedMaps             12693348                       # Number of HB maps that are committed (Count)
system.cpu0.rename.undoneMaps                  183338                       # Number of HB maps that are undone due to squashing (Count)
system.cpu0.rename.serializing                      3                       # count of serializing insts renamed (Count)
system.cpu0.rename.tempSerializing                  3                       # count of temporary serializing insts renamed (Count)
system.cpu0.rename.skidInsts                    65167                       # count of insts added to the skid buffer (Count)
system.cpu0.rob.reads                        14277420                       # The number of ROB reads (Count)
system.cpu0.rob.writes                       23745151                       # The number of ROB writes (Count)
system.cpu0.thread_0.numInsts                 6402026                       # Number of Instructions committed (Count)
system.cpu0.thread_0.numOps                  11749122                       # Number of Ops committed (Count)
system.cpu0.thread_0.numMemRefs                     0                       # Number of Memory References (Count)
system.cpu0.workload.numSyscalls                   30                       # Number of system calls (Count)
system.cpu1.numCycles                        56771186                       # Number of cpu cycles simulated (Cycle)
system.cpu1.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu1.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu1.instsAdded                      186526544                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu1.nonSpecInstsAdded                  158748                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu1.instsIssued                     183334559                       # Number of instructions issued (Count)
system.cpu1.squashedInstsIssued                189010                       # Number of squashed instructions issued (Count)
system.cpu1.squashedInstsExamined             7931267                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu1.squashedOperandsExamined         13775392                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu1.squashedNonSpecRemoved              17772                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu1.numIssuedDist::samples           56740072                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::mean              3.231130                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::stdev             2.294164                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle
system.cpu1.numIssuedDist::0                 13930063     24.55%     24.55% # Number of insts issued each cycle
system.cpu1.numIssuedDist::1                  5659366      9.97%     34.52% # Number of insts issued each cycle
system.cpu1.numIssuedDist::2                  1388539      2.45%     36.97% # Number of insts issued each cycle
system.cpu1.numIssuedDist::3                  1432324      2.52%     39.50% # Number of insts issued each cycle
system.cpu1.numIssuedDist::4                  8491707     14.97%     54.46% # Number of insts issued each cycle
system.cpu1.numIssuedDist::5                 19728316     34.77%     89.23% # Number of insts issued each cycle
system.cpu1.numIssuedDist::6                  5043634      8.89%     98.12% # Number of insts issued each cycle
system.cpu1.numIssuedDist::7                   798053      1.41%     99.53% # Number of insts issued each cycle
system.cpu1.numIssuedDist::8                   268070      0.47%    100.00% # Number of insts issued each cycle
system.cpu1.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle
system.cpu1.numIssuedDist::min_value                0                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::max_value                8                       # Number of insts issued each cycle
system.cpu1.numIssuedDist::total             56740072                       # Number of insts issued each cycle
system.cpu1.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntAlu                 663570     80.76%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntMult                     0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IntDiv                      0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatAdd                    0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatCmp                    0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatCvt                    0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMult                   0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMultAcc                0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatDiv                    0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMisc                   0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatSqrt                   0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAdd                     0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAddAcc                  0      0.00%     80.76% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAlu                   112      0.01%     80.77% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdCmp                     0      0.00%     80.77% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdCvt                    55      0.01%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdMisc                    1      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdMult                    0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdMultAcc                 0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShift                   0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShiftAcc                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdDiv                     0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSqrt                    0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatAdd                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatAlu                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatCmp                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatCvt                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatDiv                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatMisc               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatMult               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatMultAcc            0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatSqrt               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdReduceAdd               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdReduceAlu               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdReduceCmp               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatReduceAdd            0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdFloatReduceCmp            0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAes                     0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdAesMix                  0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha1Hash                0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha1Hash2               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha256Hash              0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdSha256Hash2             0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShaSigma2               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdShaSigma3               0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::SimdPredAlu                 0      0.00%     80.78% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::MemRead                100997     12.29%     93.07% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::MemWrite                56335      6.86%     99.92% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMemRead              322      0.04%     99.96% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::FloatMemWrite             305      0.04%    100.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu1.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu1.statIssuedInstType_0::No_OpClass       201849      0.11%      0.11% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IntAlu    154437647     84.24%     84.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IntMult         1281      0.00%     84.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IntDiv            7      0.00%     84.35% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatAdd        44430      0.02%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatCmp            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatCvt            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMult            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMultAcc            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatDiv            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMisc            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatSqrt            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAdd          514      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAddAcc            0      0.00%     84.37% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAlu         6893      0.00%     84.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdCmp            0      0.00%     84.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdCvt         5615      0.00%     84.38% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdMisc        33716      0.02%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdMult            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdMultAcc            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShift            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShiftAcc            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdDiv            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSqrt            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatAdd            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatAlu            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatCmp            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatCvt            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatDiv            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatMisc            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatMult            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdReduceAdd            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdReduceAlu            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdReduceCmp            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAes            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdAesMix            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha1Hash            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha256Hash            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShaSigma2            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdShaSigma3            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::SimdPredAlu            0      0.00%     84.40% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::MemRead     19013019     10.37%     94.77% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::MemWrite      9524684      5.20%     99.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMemRead        22282      0.01%     99.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::FloatMemWrite        42622      0.02%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu1.statIssuedInstType_0::total     183334559                       # Number of instructions issued per FU type, per thread (Count)
system.cpu1.issueRate                        3.229359                       # Inst issue rate ((Count/Cycle))
system.cpu1.fuBusy                             821697                       # FU busy when requested (Count)
system.cpu1.fuBusyRate                       0.004482                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu1.intInstQueueReads               424056114                       # Number of integer instruction queue reads (Count)
system.cpu1.intInstQueueWrites              194406957                       # Number of integer instruction queue writes (Count)
system.cpu1.intInstQueueWakeupAccesses      182520237                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu1.fpInstQueueReads                   363783                       # Number of floating instruction queue reads (Count)
system.cpu1.fpInstQueueWrites                  229568                       # Number of floating instruction queue writes (Count)
system.cpu1.fpInstQueueWakeupAccesses          180522                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu1.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu1.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu1.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu1.intAluAccesses                  183772136                       # Number of integer alu accesses (Count)
system.cpu1.fpAluAccesses                      182271                       # Number of floating point alu accesses (Count)
system.cpu1.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu1.idleCycles                              0                       # Number of cycles IEW is idle (Cycle)
system.cpu1.squashCycles                       156403                       # Number of cycles IEW is squashing (Cycle)
system.cpu1.blockCycles                       1130488                       # Number of cycles IEW is blocking (Cycle)
system.cpu1.unblockCycles                       63390                       # Number of cycles IEW is unblocking (Cycle)
system.cpu1.dispatchedInsts                 186685292                       # Number of instructions dispatched to IQ (Count)
system.cpu1.dispSquashedInsts                     109                       # Number of squashed instructions skipped by dispatch (Count)
system.cpu1.dispLoadInsts                    19663952                       # Number of dispatched load instructions (Count)
system.cpu1.dispStoreInsts                    9767400                       # Number of dispatched store instructions (Count)
system.cpu1.dispNonSpecInsts                    52915                       # Number of dispatched non-speculative instructions (Count)
system.cpu1.iqFullEvents                        52274                       # Number of times the IQ has become full, causing a stall (Count)
system.cpu1.lsqFullEvents                           0                       # Number of times the LSQ has become full, causing a stall (Count)
system.cpu1.memOrderViolationEvents             39037                       # Number of memory order violations (Count)
system.cpu1.predictedTakenIncorrect            119021                       # Number of branches that were predicted taken incorrectly (Count)
system.cpu1.predictedNotTakenIncorrect          21692                       # Number of branches that were predicted not taken incorrectly (Count)
system.cpu1.branchMispredicts                  140713                       # Number of branch mispredicts detected at execute (Count)
system.cpu1.numInsts                        182830811                       # Number of executed instructions (Count)
system.cpu1.numLoadInsts                     19014669                       # Number of load instructions executed (Count)
system.cpu1.numSquashedInsts                   503748                       # Number of squashed instructions skipped in execute (Count)
system.cpu1.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu1.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu1.numRefs                          28554514                       # Number of memory reference insts executed (Count)
system.cpu1.numBranches                      22551418                       # Number of branches executed (Count)
system.cpu1.numStoreInsts                     9539845                       # Number of stores executed (Count)
system.cpu1.numRate                          3.220486                       # Inst execution rate ((Count/Cycle))
system.cpu1.instsToCommit                   182820757                       # Cumulative count of insts sent to commit (Count)
system.cpu1.writebackCount                  182700759                       # Cumulative count of insts written-back (Count)
system.cpu1.producerInst                    137209140                       # Number of instructions producing a value (Count)
system.cpu1.consumerInst                    209902830                       # Number of instructions consuming a value (Count)
system.cpu1.wbRate                           3.218195                       # Insts written-back per cycle ((Count/Cycle))
system.cpu1.wbFanout                         0.653679                       # Average fanout of values written-back ((Count/Count))
system.cpu1.timesIdled                            964                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu1.idleCycles                          31114                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu1.quiesceCycles                     3139470                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu1.committedInsts                   98291709                       # Number of Instructions Simulated (Count)
system.cpu1.committedOps                    178754025                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu1.cpi                              0.577579                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu1.totalCpi                         0.577579                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu1.ipc                              1.731366                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu1.totalIpc                         1.731366                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu1.intRegfileReads                 245197188                       # Number of integer regfile reads (Count)
system.cpu1.intRegfileWrites                150261143                       # Number of integer regfile writes (Count)
system.cpu1.fpRegfileReads                     168625                       # Number of floating regfile reads (Count)
system.cpu1.fpRegfileWrites                    135217                       # Number of floating regfile writes (Count)
system.cpu1.ccRegfileReads                  116358491                       # number of cc regfile reads (Count)
system.cpu1.ccRegfileWrites                  62093845                       # number of cc regfile writes (Count)
system.cpu1.miscRegfileReads                 86473947                       # number of misc regfile reads (Count)
system.cpu1.miscRegfileWrites                       1                       # number of misc regfile writes (Count)
system.cpu1.MemDepUnit__0.insertedLoads      19663952                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__0.insertedStores      9767400                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__0.conflictingLoads      4457321                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__0.conflictingStores       830454                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu1.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu1.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu1.branchPred.lookups               23825270                       # Number of BP lookups (Count)
system.cpu1.branchPred.condPredicted         23043474                       # Number of conditional branches predicted (Count)
system.cpu1.branchPred.condIncorrect           137532                       # Number of conditional branches incorrect (Count)
system.cpu1.branchPred.BTBLookups            14144087                       # Number of BTB lookups (Count)
system.cpu1.branchPred.BTBHits               14138837                       # Number of BTB hits (Count)
system.cpu1.branchPred.BTBHitRatio           0.999629                       # BTB Hit Ratio (Ratio)
system.cpu1.branchPred.RASUsed                 202047                       # Number of times the RAS was used to get a target. (Count)
system.cpu1.branchPred.RASIncorrect                34                       # Number of incorrect RAS predictions. (Count)
system.cpu1.branchPred.indirectLookups          80913                       # Number of indirect predictor lookups. (Count)
system.cpu1.branchPred.indirectHits             80333                       # Number of indirect target hits. (Count)
system.cpu1.branchPred.indirectMisses             580                       # Number of indirect misses. (Count)
system.cpu1.branchPred.indirectMispredicted          150                       # Number of mispredicted indirect branches. (Count)
system.cpu1.commit.commitSquashedInsts        7925497                       # The number of squashed insts skipped by commit (Count)
system.cpu1.commit.commitNonSpecStalls         140976                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu1.commit.branchMispredicts           135890                       # The number of times a branch was mispredicted (Count)
system.cpu1.commit.numCommittedDist::samples     55656150                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::mean     3.211757                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::stdev     2.573683                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::0        3306148      5.94%      5.94% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::1       17044358     30.62%     36.56% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::2        8399491     15.09%     51.66% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::3        5620338     10.10%     61.75% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::4        7408020     13.31%     75.07% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::5        3873835      6.96%     82.03% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::6         333996      0.60%     82.63% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::7         315272      0.57%     83.19% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::8        9354692     16.81%    100.00% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle
system.cpu1.commit.numCommittedDist::total     55656150                       # Number of insts commited each cycle
system.cpu1.commit.instsCommitted            98291709                       # Number of instructions committed (Count)
system.cpu1.commit.opsCommitted             178754025                       # Number of ops (including micro ops) committed (Count)
system.cpu1.commit.memRefs                   28030163                       # Number of memory references committed (Count)
system.cpu1.commit.loads                     18638485                       # Number of loads committed (Count)
system.cpu1.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu1.commit.membars                      93984                       # Number of memory barriers committed (Count)
system.cpu1.commit.branches                  22272927                       # Number of branches committed (Count)
system.cpu1.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu1.commit.floating                    160816                       # Number of committed floating point instructions. (Count)
system.cpu1.commit.integer                  178393137                       # Number of committed integer instructions. (Count)
system.cpu1.commit.functionCalls               182753                       # Number of function calls committed. (Count)
system.cpu1.commit.committedInstType_0::No_OpClass       190793      0.11%      0.11% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntAlu    150455310     84.17%     84.28% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntMult         1179      0.00%     84.28% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::IntDiv            7      0.00%     84.28% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatAdd        35069      0.02%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatCmp            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatCvt            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMult            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMultAcc            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatDiv            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatMisc            0      0.00%     84.30% # Class of committed instruction (Count)
system.cpu1.commit.committedInstType_0::FloatSqrt            0      0.00%     84.30% # Class of committed instruction (Count)
